product_handle,rating,username,date£¨optional:Default to current time if not entered£©,review content,Image£¨optional£©,Video£¨optional£©,Verify£¨optional£©
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
dark-denim-top,3,Norry,2021/6/25,test csv import 2,,,Yes
red-sports-tee,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
classic-leather-jacket,4,Norry,,test csv import 1,,,YES
dark-denim-top1,3,Norry,2021/6/25,test csv import 2,,,Yes
red-sports-tee1,5,Gavin S,2021/6/16,Do like how it does the job. The company stands behind their products. Easy to deal with great service would recommend this unit to anyone!,https://images-na.ssl-images-amazon.com/images/I/51AWkcuUakL.jpg,https://images-na.ssl-images-amazon.com/images/I/E1PK4wkK3DS.mp4,YES
dark-denim-top1,3,Norry,2021/6/25,test csv import 2,,,Yes
